,question_id,poll_id,state,pollster,grade,sample_size,population,start_date,end_date,Biden,Trump
73,136519,72741,Iowa,Data for Progress,B-,951,lv,10/27/2020,11/1/2020,47,49
74,136545,72763,Alabama,Swayable,D-,330,lv,10/27/2020,11/1/2020,37.8,55
75,136546,72764,Arizona,Swayable,D-,360,lv,10/27/2020,11/1/2020,50.6,45.7
76,136548,72766,Georgia,Swayable,D-,438,lv,10/27/2020,11/1/2020,53.6,44.3
77,136549,72767,Illinois,Swayable,D-,485,lv,10/27/2020,11/1/2020,55.1,43.6
78,136550,72768,Indiana,Swayable,D-,264,lv,10/27/2020,11/1/2020,43,55.2
79,136551,72769,Michigan,Swayable,D-,413,lv,10/27/2020,11/1/2020,53.6,44.9
80,136553,72771,New Jersey,Swayable,D-,324,lv,10/27/2020,11/1/2020,58.9,40
81,136554,72772,Ohio,Swayable,D-,516,lv,10/27/2020,11/1/2020,47.1,52.3
82,136557,72775,Virginia,Swayable,D-,467,lv,10/27/2020,11/1/2020,56.3,41.3
83,136558,72776,Wisconsin,Swayable,D-,253,lv,10/27/2020,11/1/2020,54.6,44.9
84,136354,72660,Illinois,Victory Research,B/C,1208,lv,10/26/2020,11/1/2020,54.1,38.2
85,136559,72777,Colorado,Swayable,D-,455,lv,10/23/2020,11/1/2020,55.4,40.7
86,136560,72778,Connecticut,Swayable,D-,367,lv,10/23/2020,11/1/2020,64.1,33.7
87,136561,72779,Kentucky,Swayable,D-,383,lv,10/23/2020,11/1/2020,41.5,55
88,136562,72780,Louisiana,Swayable,D-,378,lv,10/23/2020,11/1/2020,39.1,56.6
89,136563,72781,Maryland,Swayable,D-,503,lv,10/23/2020,11/1/2020,67,31.1
90,136564,72782,Minnesota,Swayable,D-,466,lv,10/23/2020,11/1/2020,52.7,43.4
91,136565,72783,Missouri,Swayable,D-,487,lv,10/23/2020,11/1/2020,43.4,54.6
92,136566,72784,Oregon,Swayable,D-,324,lv,10/23/2020,11/1/2020,60.4,37.2
93,136567,72785,South Carolina,Swayable,D-,426,lv,10/23/2020,11/1/2020,48.9,49.8
94,136568,72786,Tennessee,Swayable,D-,485,lv,10/23/2020,11/1/2020,40.9,57.6
95,136569,72787,Washington,Swayable,D-,489,lv,10/23/2020,11/1/2020,58.9,38.6
96,136364,72663,Wyoming,SurveyMonkey,D-,330,rv,10/20/2020,11/1/2020,33,66
97,136416,72663,Wyoming,SurveyMonkey,D-,330,lv,10/20/2020,11/1/2020,33,66
98,136365,72664,West Virginia,SurveyMonkey,D-,738,rv,10/20/2020,11/1/2020,31,67
99,136417,72664,West Virginia,SurveyMonkey,D-,738,lv,10/20/2020,11/1/2020,32,67
100,136366,72665,Wisconsin,SurveyMonkey,D-,2475,rv,10/20/2020,11/1/2020,55,43
101,136418,72665,Wisconsin,SurveyMonkey,D-,2475,lv,10/20/2020,11/1/2020,54,44
102,136367,72666,Washington,SurveyMonkey,D-,3666,rv,10/20/2020,11/1/2020,62,35
103,136419,72666,Washington,SurveyMonkey,D-,3666,lv,10/20/2020,11/1/2020,62,36
104,136368,72667,Vermont,SurveyMonkey,D-,719,rv,10/20/2020,11/1/2020,70,28
105,136420,72667,Vermont,SurveyMonkey,D-,719,lv,10/20/2020,11/1/2020,71,26
106,136369,72668,Virginia,SurveyMonkey,D-,4145,rv,10/20/2020,11/1/2020,57,40
107,136421,72668,Virginia,SurveyMonkey,D-,4145,lv,10/20/2020,11/1/2020,57,41
108,136370,72669,Utah,SurveyMonkey,D-,1435,rv,10/20/2020,11/1/2020,43,54
109,136422,72669,Utah,SurveyMonkey,D-,1435,lv,10/20/2020,11/1/2020,44,54
110,136371,72670,Texas,SurveyMonkey,D-,8250,rv,10/20/2020,11/1/2020,50,48
111,136423,72670,Texas,SurveyMonkey,D-,8250,lv,10/20/2020,11/1/2020,47,51
112,136372,72671,Tennessee,SurveyMonkey,D-,2943,rv,10/20/2020,11/1/2020,47,51
113,136424,72671,Tennessee,SurveyMonkey,D-,2943,lv,10/20/2020,11/1/2020,45,54
114,136373,72672,South Dakota,SurveyMonkey,D-,556,rv,10/20/2020,11/1/2020,37,61
115,136425,72672,South Dakota,SurveyMonkey,D-,556,lv,10/20/2020,11/1/2020,36,62
116,136374,72673,South Carolina,SurveyMonkey,D-,2266,rv,10/20/2020,11/1/2020,44,53
117,136426,72673,South Carolina,SurveyMonkey,D-,2266,lv,10/20/2020,11/1/2020,43,55
118,136375,72674,Rhode Island,SurveyMonkey,D-,517,rv,10/20/2020,11/1/2020,62,36
119,136427,72674,Rhode Island,SurveyMonkey,D-,517,lv,10/20/2020,11/1/2020,62,36
120,136376,72675,Pennsylvania,SurveyMonkey,D-,5358,rv,10/20/2020,11/1/2020,52,45
121,136428,72675,Pennsylvania,SurveyMonkey,D-,5358,lv,10/20/2020,11/1/2020,51,47
122,136377,72676,Oregon,SurveyMonkey,D-,3252,rv,10/20/2020,11/1/2020,59,39
123,136429,72676,Oregon,SurveyMonkey,D-,3252,lv,10/20/2020,11/1/2020,59,39
124,136378,72677,Oklahoma,SurveyMonkey,D-,1745,rv,10/20/2020,11/1/2020,36,62
125,136430,72677,Oklahoma,SurveyMonkey,D-,1745,lv,10/20/2020,11/1/2020,35,64
126,136379,72678,Ohio,SurveyMonkey,D-,5305,rv,10/20/2020,11/1/2020,48,50
127,136431,72678,Ohio,SurveyMonkey,D-,5305,lv,10/20/2020,11/1/2020,47,50
128,136380,72679,New York,SurveyMonkey,D-,5830,rv,10/20/2020,11/1/2020,63,34
129,136432,72679,New York,SurveyMonkey,D-,5830,lv,10/20/2020,11/1/2020,63,35
130,136381,72680,Nevada,SurveyMonkey,D-,2211,rv,10/20/2020,11/1/2020,50,48
131,136433,72680,Nevada,SurveyMonkey,D-,2211,lv,10/20/2020,11/1/2020,49,49
132,136382,72681,New Mexico,SurveyMonkey,D-,1375,rv,10/20/2020,11/1/2020,56,42
133,136434,72681,New Mexico,SurveyMonkey,D-,1375,lv,10/20/2020,11/1/2020,56,42
134,136383,72682,New Jersey,SurveyMonkey,D-,3480,rv,10/20/2020,11/1/2020,59,38
135,136435,72682,New Jersey,SurveyMonkey,D-,3480,lv,10/20/2020,11/1/2020,59,39
136,136384,72683,New Hampshire,SurveyMonkey,D-,910,rv,10/20/2020,11/1/2020,54,45
137,136436,72683,New Hampshire,SurveyMonkey,D-,910,lv,10/20/2020,11/1/2020,53,46
138,136385,72684,Nebraska,SurveyMonkey,D-,1666,rv,10/20/2020,11/1/2020,44,54
139,136437,72684,Nebraska,SurveyMonkey,D-,1666,lv,10/20/2020,11/1/2020,43,55
140,136386,72685,North Dakota,SurveyMonkey,D-,370,rv,10/20/2020,11/1/2020,40,58
141,136438,72685,North Dakota,SurveyMonkey,D-,370,lv,10/20/2020,11/1/2020,39,59
142,136387,72686,North Carolina,SurveyMonkey,D-,4867,rv,10/20/2020,11/1/2020,53,45
143,136439,72686,North Carolina,SurveyMonkey,D-,4867,lv,10/20/2020,11/1/2020,51,47
144,136388,72687,Montana,SurveyMonkey,D-,957,rv,10/20/2020,11/1/2020,46,52
145,136440,72687,Montana,SurveyMonkey,D-,957,lv,10/20/2020,11/1/2020,46,52
146,136389,72688,Mississippi,SurveyMonkey,D-,1336,rv,10/20/2020,11/1/2020,42,55
147,136441,72688,Mississippi,SurveyMonkey,D-,1336,lv,10/20/2020,11/1/2020,37,61
148,136390,72689,Missouri,SurveyMonkey,D-,2644,rv,10/20/2020,11/1/2020,43,54
149,136442,72689,Missouri,SurveyMonkey,D-,2644,lv,10/20/2020,11/1/2020,44,54
150,136391,72690,Minnesota,SurveyMonkey,D-,2727,rv,10/20/2020,11/1/2020,55,42
151,136443,72690,Minnesota,SurveyMonkey,D-,2727,lv,10/20/2020,11/1/2020,56,42
152,136392,72691,Michigan,SurveyMonkey,D-,3976,rv,10/20/2020,11/1/2020,53,44
153,136444,72691,Michigan,SurveyMonkey,D-,3976,lv,10/20/2020,11/1/2020,52,46
154,136393,72692,Maine,SurveyMonkey,D-,1183,rv,10/20/2020,11/1/2020,56,41
155,136445,72692,Maine,SurveyMonkey,D-,1183,lv,10/20/2020,11/1/2020,56,42
156,136394,72693,Maryland,SurveyMonkey,D-,2918,rv,10/20/2020,11/1/2020,66,30
157,136446,72693,Maryland,SurveyMonkey,D-,2918,lv,10/20/2020,11/1/2020,65,32
158,136395,72694,Massachusetts,SurveyMonkey,D-,3293,rv,10/20/2020,11/1/2020,68,29
159,136447,72694,Massachusetts,SurveyMonkey,D-,3293,lv,10/20/2020,11/1/2020,69,29
160,136396,72695,Louisiana,SurveyMonkey,D-,1388,rv,10/20/2020,11/1/2020,39,58
161,136448,72695,Louisiana,SurveyMonkey,D-,1388,lv,10/20/2020,11/1/2020,35,62
162,136397,72696,Kentucky,SurveyMonkey,D-,1759,rv,10/20/2020,11/1/2020,40,58
163,136449,72696,Kentucky,SurveyMonkey,D-,1759,lv,10/20/2020,11/1/2020,40,59
164,136398,72697,Kansas,SurveyMonkey,D-,2159,rv,10/20/2020,11/1/2020,45,53
165,136450,72697,Kansas,SurveyMonkey,D-,2159,lv,10/20/2020,11/1/2020,44,54
166,136399,72698,Indiana,SurveyMonkey,D-,2392,rv,10/20/2020,11/1/2020,44,54
167,136451,72698,Indiana,SurveyMonkey,D-,2392,lv,10/20/2020,11/1/2020,44,54
168,136400,72699,Illinois,SurveyMonkey,D-,4848,rv,10/20/2020,11/1/2020,58,39
169,136452,72699,Illinois,SurveyMonkey,D-,4848,lv,10/20/2020,11/1/2020,58,40
170,136401,72700,Idaho,SurveyMonkey,D-,824,rv,10/20/2020,11/1/2020,40,57
171,136453,72700,Idaho,SurveyMonkey,D-,824,lv,10/20/2020,11/1/2020,40,58
172,136402,72701,Iowa,SurveyMonkey,D-,1330,rv,10/20/2020,11/1/2020,50,49
173,136454,72701,Iowa,SurveyMonkey,D-,1330,lv,10/20/2020,11/1/2020,49,50
174,136403,72702,Hawaii,SurveyMonkey,D-,619,rv,10/20/2020,11/1/2020,65,31
175,136455,72702,Hawaii,SurveyMonkey,D-,619,lv,10/20/2020,11/1/2020,66,31
176,136405,72704,Florida,SurveyMonkey,D-,7796,rv,10/20/2020,11/1/2020,50,48
177,136457,72704,Florida,SurveyMonkey,D-,7796,lv,10/20/2020,11/1/2020,48,50
178,136406,72705,Delaware,SurveyMonkey,D-,588,rv,10/20/2020,11/1/2020,62,37
179,136458,72705,Delaware,SurveyMonkey,D-,588,lv,10/20/2020,11/1/2020,61,38
180,136407,72706,District of Columbia,SurveyMonkey,D-,457,rv,10/20/2020,11/1/2020,92,6
181,136459,72706,District of Columbia,SurveyMonkey,D-,457,lv,10/20/2020,11/1/2020,94,5
182,136408,72707,Connecticut,SurveyMonkey,D-,1867,rv,10/20/2020,11/1/2020,61,37
183,136460,72707,Connecticut,SurveyMonkey,D-,1867,lv,10/20/2020,11/1/2020,60,38
184,136409,72708,Colorado,SurveyMonkey,D-,2677,rv,10/20/2020,11/1/2020,57,41
185,136461,72708,Colorado,SurveyMonkey,D-,2677,lv,10/20/2020,11/1/2020,55,43
186,136410,72709,California,SurveyMonkey,D-,10925,rv,10/20/2020,11/1/2020,62,36
187,136462,72709,California,SurveyMonkey,D-,10925,lv,10/20/2020,11/1/2020,62,36
188,136411,72710,Arizona,SurveyMonkey,D-,3807,rv,10/20/2020,11/1/2020,53,45
189,136463,72710,Arizona,SurveyMonkey,D-,3807,lv,10/20/2020,11/1/2020,52,47
190,136412,72711,Arkansas,SurveyMonkey,D-,1161,rv,10/20/2020,11/1/2020,41,58
191,136464,72711,Arkansas,SurveyMonkey,D-,1161,lv,10/20/2020,11/1/2020,38,61
192,136413,72712,Alabama,SurveyMonkey,D-,1608,rv,10/20/2020,11/1/2020,39,58
193,136465,72712,Alabama,SurveyMonkey,D-,1608,lv,10/20/2020,11/1/2020,36,62
194,136414,72713,Alaska,SurveyMonkey,D-,537,rv,10/20/2020,11/1/2020,45,53
195,136466,72713,Alaska,SurveyMonkey,D-,537,lv,10/20/2020,11/1/2020,46,53
196,136404,72703,Georgia,SurveyMonkey,D-,3535,rv,10/19/2020,11/1/2020,52,45
197,136456,72703,Georgia,SurveyMonkey,D-,3535,lv,10/19/2020,11/1/2020,50,49
198,136053,72497,North Carolina,Opinion Savvy/InsiderAdvantage,B-,450,lv,10/30/2020,10/31/2020,43.6,48
199,136058,72500,Arizona,AtlasIntel,B/C,641,lv,10/30/2020,10/31/2020,48.1,50.4
200,136059,72501,North Carolina,AtlasIntel,B/C,812,lv,10/30/2020,10/31/2020,47.5,49.5
201,136060,72502,Wisconsin,AtlasIntel,B/C,781,lv,10/30/2020,10/31/2020,50.6,48.7
202,136072,72509,Michigan,Opinion Savvy/InsiderAdvantage,B-,500,lv,10/30/2020,10/31/2020,48.8,46.7
203,136080,72514,Pennsylvania,Opinion Savvy/InsiderAdvantage,B-,500,lv,10/30/2020,10/31/2020,47.4,48.7
204,136230,72592,Texas,AtlasIntel,B/C,962,lv,10/30/2020,10/31/2020,47.3,50
205,136231,72593,Georgia,AtlasIntel,B/C,679,lv,10/30/2020,10/31/2020,46.1,48.3
206,136232,72594,Michigan,AtlasIntel,B/C,686,lv,10/30/2020,10/31/2020,48.3,45.9
207,136235,72595,Michigan,Trafalgar Group,C-,1033,lv,10/30/2020,10/31/2020,45.8,48.3
208,136267,72616,Ohio,Trafalgar Group,C-,1041,lv,10/30/2020,10/31/2020,44.4,49.2
209,136302,72633,Pennsylvania,Frederick Polls,B/C,879,lv,10/30/2020,10/31/2020,52,48
210,136303,72634,Florida,Frederick Polls,B/C,768,lv,10/30/2020,10/31/2020,51,49
211,136304,72635,North Carolina,Frederick Polls,B/C,676,lv,10/30/2020,10/31/2020,51,49
212,136313,72641,Pennsylvania,Trafalgar Group,C-,1062,lv,10/30/2020,10/31/2020,45.9,47.8
213,135892,72419,Wisconsin,Susquehanna Polling & Research Inc.,C,450,lv,10/29/2020,10/31/2020,49,46
214,136035,72487,Michigan,Emerson College,A-,700,lv,10/29/2020,10/31/2020,52,45.5
215,136036,72488,Ohio,Emerson College,A-,656,lv,10/29/2020,10/31/2020,49.6,48.7
216,136037,72489,Iowa,Emerson College,A-,604,lv,10/29/2020,10/31/2020,47.4,48.6
217,136049,72495,Arizona,Emerson College,A-,732,lv,10/29/2020,10/31/2020,48,45.9
218,136050,72496,Nevada,Emerson College,A-,720,lv,10/29/2020,10/31/2020,48.9,47.2
219,136056,72499,Florida,Rasmussen Reports/Pulse Opinion Research,C+,800,lv,10/29/2020,10/31/2020,48,47
220,136075,72511,Maine,Emerson College,A-,611,lv,10/29/2020,10/31/2020,54.3,42.9
221,136081,72515,North Carolina,Emerson College,A-,855,lv,10/29/2020,10/31/2020,47.4,47.1
222,136083,72517,Georgia,Emerson College,A-,749,lv,10/29/2020,10/31/2020,48.8,49.4
223,136084,72518,Texas,Emerson College,A-,763,lv,10/29/2020,10/31/2020,48.7,49.7
224,136017,72479,Florida,Siena College/The New York Times Upshot,A+,1451,lv,10/27/2020,10/31/2020,47,44
225,136018,72480,Pennsylvania,Siena College/The New York Times Upshot,A+,1862,lv,10/26/2020,10/31/2020,49,43
226,136250,72602,Arizona,Morning Consult,B/C,1059,lv,10/22/2020,10/31/2020,48.4,46.1
227,136251,72603,Colorado,Morning Consult,B/C,727,lv,10/22/2020,10/31/2020,53.8,40.9
228,136252,72604,Florida,Morning Consult,B/C,4451,lv,10/22/2020,10/31/2020,51.5,45.4
229,136253,72605,Georgia,Morning Consult,B/C,1743,lv,10/22/2020,10/31/2020,48.8,46.4
230,136254,72606,Indiana,Morning Consult,B/C,1147,lv,10/22/2020,10/31/2020,42,53.4
231,136255,72607,Michigan,Morning Consult,B/C,1736,lv,10/22/2020,10/31/2020,51.8,44.5
232,136256,72608,Minnesota,Morning Consult,B/C,883,lv,10/22/2020,10/31/2020,51.7,42.4
233,136257,72609,Missouri,Morning Consult,B/C,1109,lv,10/22/2020,10/31/2020,42.9,52.3
234,136258,72610,North Carolina,Morning Consult,B/C,1982,lv,10/22/2020,10/31/2020,49.1,48.4
235,136259,72611,Ohio,Morning Consult,B/C,2179,lv,10/22/2020,10/31/2020,46.6,49.2
236,136260,72612,Pennsylvania,Morning Consult,B/C,2686,lv,10/22/2020,10/31/2020,51.9,43.2
237,136261,72613,South Carolina,Morning Consult,B/C,904,lv,10/22/2020,10/31/2020,44.5,51.1
238,136262,72614,Texas,Morning Consult,B/C,3267,lv,10/22/2020,10/31/2020,48.1,48.1
239,136263,72615,Wisconsin,Morning Consult,B/C,1002,lv,10/22/2020,10/31/2020,53.8,40.5
240,136095,72525,Wyoming,SurveyMonkey,D-,361,rv,10/18/2020,10/31/2020,33,65
241,136147,72525,Wyoming,SurveyMonkey,D-,361,lv,10/18/2020,10/31/2020,34,65
242,136096,72526,West Virginia,SurveyMonkey,D-,798,rv,10/18/2020,10/31/2020,32,67
243,136148,72526,West Virginia,SurveyMonkey,D-,798,lv,10/18/2020,10/31/2020,33,66
244,136097,72527,Wisconsin,SurveyMonkey,D-,2554,rv,10/18/2020,10/31/2020,55,43
245,136149,72527,Wisconsin,SurveyMonkey,D-,2554,lv,10/18/2020,10/31/2020,54,44
246,136098,72528,Washington,SurveyMonkey,D-,3931,rv,10/18/2020,10/31/2020,62,35
247,136150,72528,Washington,SurveyMonkey,D-,3931,lv,10/18/2020,10/31/2020,62,36
248,136099,72529,Vermont,SurveyMonkey,D-,737,rv,10/18/2020,10/31/2020,69,28
249,136151,72529,Vermont,SurveyMonkey,D-,737,lv,10/18/2020,10/31/2020,71,27
250,136100,72530,Virginia,SurveyMonkey,D-,4390,rv,10/18/2020,10/31/2020,57,40
251,136152,72530,Virginia,SurveyMonkey,D-,4390,lv,10/18/2020,10/31/2020,56,42
252,136101,72531,Utah,SurveyMonkey,D-,1519,rv,10/18/2020,10/31/2020,43,54
253,136153,72531,Utah,SurveyMonkey,D-,1519,lv,10/18/2020,10/31/2020,43,55
254,136103,72533,Tennessee,SurveyMonkey,D-,3030,rv,10/18/2020,10/31/2020,45,53
255,136155,72533,Tennessee,SurveyMonkey,D-,3030,lv,10/18/2020,10/31/2020,43,55
256,136104,72534,South Dakota,SurveyMonkey,D-,597,rv,10/18/2020,10/31/2020,38,60
257,136156,72534,South Dakota,SurveyMonkey,D-,597,lv,10/18/2020,10/31/2020,36,62
258,136105,72535,South Carolina,SurveyMonkey,D-,2444,rv,10/18/2020,10/31/2020,45,52
259,136157,72535,South Carolina,SurveyMonkey,D-,2444,lv,10/18/2020,10/31/2020,43,54
260,136106,72536,Rhode Island,SurveyMonkey,D-,551,rv,10/18/2020,10/31/2020,63,35
261,136158,72536,Rhode Island,SurveyMonkey,D-,551,lv,10/18/2020,10/31/2020,62,36
262,136107,72537,Pennsylvania,SurveyMonkey,D-,5750,rv,10/18/2020,10/31/2020,52,45
263,136159,72537,Pennsylvania,SurveyMonkey,D-,5750,lv,10/18/2020,10/31/2020,51,47
264,136108,72538,Oregon,SurveyMonkey,D-,3451,rv,10/18/2020,10/31/2020,59,39
265,136160,72538,Oregon,SurveyMonkey,D-,3451,lv,10/18/2020,10/31/2020,59,39
266,136110,72540,Ohio,SurveyMonkey,D-,5468,rv,10/18/2020,10/31/2020,48,49
267,136162,72540,Ohio,SurveyMonkey,D-,5468,lv,10/18/2020,10/31/2020,48,50
268,136111,72541,New York,SurveyMonkey,D-,5934,rv,10/18/2020,10/31/2020,63,34
269,136163,72541,New York,SurveyMonkey,D-,5934,lv,10/18/2020,10/31/2020,63,35
270,136112,72542,Nevada,SurveyMonkey,D-,2247,rv,10/18/2020,10/31/2020,50,48
271,136164,72542,Nevada,SurveyMonkey,D-,2247,lv,10/18/2020,10/31/2020,49,49
272,136113,72543,New Mexico,SurveyMonkey,D-,1463,rv,10/18/2020,10/31/2020,55,43
273,136165,72543,New Mexico,SurveyMonkey,D-,1463,lv,10/18/2020,10/31/2020,55,43
274,136114,72544,New Jersey,SurveyMonkey,D-,3697,rv,10/18/2020,10/31/2020,60,37
275,136166,72544,New Jersey,SurveyMonkey,D-,3697,lv,10/18/2020,10/31/2020,60,38
276,136115,72545,New Hampshire,SurveyMonkey,D-,982,rv,10/18/2020,10/31/2020,53,46
277,136167,72545,New Hampshire,SurveyMonkey,D-,982,lv,10/18/2020,10/31/2020,52,47
278,136116,72546,Nebraska,SurveyMonkey,D-,1751,rv,10/18/2020,10/31/2020,43,55
279,136168,72546,Nebraska,SurveyMonkey,D-,1751,lv,10/18/2020,10/31/2020,43,56
280,136117,72547,North Dakota,SurveyMonkey,D-,399,rv,10/18/2020,10/31/2020,41,57
281,136169,72547,North Dakota,SurveyMonkey,D-,399,lv,10/18/2020,10/31/2020,40,59
282,136118,72548,North Carolina,SurveyMonkey,D-,5274,rv,10/18/2020,10/31/2020,53,45
283,136170,72548,North Carolina,SurveyMonkey,D-,5274,lv,10/18/2020,10/31/2020,52,47
